Time	CellId	RNTI	BWPId	SINR(dB)
0.706971	2	1	0	21.0513
0.709471	2	1	0	21.0513
0.710002	2	1	0	21.0513
0.711971	2	1	0	21.0513
0.714471	2	1	0	21.0513
0.715002	2	1	0	21.0513
0.716971	2	1	0	21.0513
0.719471	2	1	0	21.0513
0.720002	2	1	0	21.0513
0.721971	2	1	0	21.0513
0.724471	2	1	0	21.0513
0.725002	2	1	0	21.0513
0.726971	2	1	0	21.0513
0.729471	2	1	0	21.0513
0.730002	2	1	0	21.0513
0.731971	2	1	0	21.0513
0.734471	2	1	0	21.0513
0.735002	2	1	0	21.0513
0.736971	2	1	0	21.0513
0.739471	2	1	0	21.0513
0.740002	2	1	0	21.0513
0.741971	2	1	0	21.0513
0.744471	2	1	0	21.0513
0.745002	2	1	0	21.0513
0.746971	2	1	0	21.0513
0.749471	2	1	0	21.0513
0.750002	2	1	0	21.0513
0.751971	2	1	0	21.0513
0.754471	2	1	0	21.0513
0.755002	2	1	0	21.0513
0.756971	2	1	0	21.0513
0.759471	2	1	0	21.0513
0.760002	2	1	0	21.0513
0.761971	2	1	0	21.0513
0.764471	2	1	0	21.0513
0.765002	2	1	0	21.0513
0.766971	2	1	0	21.0513
0.769471	2	1	0	21.0513
0.770002	2	1	0	21.0513
0.771971	2	1	0	21.0513
0.774471	2	1	0	21.0513
0.775002	2	1	0	21.0513
0.776971	2	1	0	21.0513
0.779471	2	1	0	21.0513
0.780002	2	1	0	21.0513
0.781971	2	1	0	21.0513
0.784471	2	1	0	21.0513
0.785002	2	1	0	21.0513
0.786971	2	1	0	21.0513
0.789471	2	1	0	21.0513
0.790002	2	1	0	21.0513
0.791971	2	1	0	21.0513
0.794471	2	1	0	21.0513
0.795002	2	1	0	21.0513
0.796971	2	1	0	21.0513
0.799471	2	1	0	21.0513
