Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
5.41146	UL	541	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.41146	UL	541	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.41196	UL	541	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.41196	UL	541	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.50646	UL	550	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.50646	UL	550	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.51146	UL	551	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.51146	UL	551	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.51196	UL	551	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.51196	UL	551	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.60646	UL	560	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.60646	UL	560	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.61146	UL	561	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.61146	UL	561	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.61196	UL	561	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
